date,city,region,temp_max,temp_min,temp_mean,precipitation,wind_speed,humidity,year,month,day,season,is_hot_day,is_rainy_day
2023-01-01,Hà Nội,Bắc,20.6,10.4,15.4,0.0,10.4,65,2023,1,1,Đông,False,False
2023-01-02,Hà Nội,Bắc,19.1,11.5,15.8,0.1,12.2,72,2023,1,2,Đông,False,False
2023-01-03,Hà Nội,Bắc,19.5,14.1,16.1,0.1,10.3,68,2023,1,3,Đông,False,False
2023-01-04,Hà Nội,Bắc,21.9,14.1,18.0,0.0,8.1,68,2023,1,4,Đông,False,False
2023-01-05,Hà Nội,Bắc,22.0,14.5,18.3,0.0,9.0,77,2023,1,5,Đông,False,False
2023-01-06,Hà Nội,Bắc,24.6,15.8,19.1,0.0,23.5,61,2023,1,6,Đông,False,False
2023-01-07,Hà Nội,Bắc,21.5,12.1,17.1,0.5,12.9,60,2023,1,7,Đông,False,False
2023-01-08,Hà Nội,Bắc,22.5,13.8,17.5,0.0,13.0,70,2023,1,8,Đông,False,False
2023-01-09,Hà Nội,Bắc,22.1,15.4,18.8,0.0,7.7,77,2023,1,9,Đông,False,False
2023-01-10,Hà Nội,Bắc,21.0,17.1,18.7,4.9,10.5,88,2023,1,10,Đông,False,False
2023-01-11,Hà Nội,Bắc,22.9,17.4,19.8,0.6,11.2,86,2023,1,11,Đông,False,False
2023-01-12,Hà Nội,Bắc,23.8,16.1,19.4,0.0,12.0,87,2023,1,12,Đông,False,False
2023-01-13,Hà Nội,Bắc,29.4,17.4,22.1,0.0,17.9,81,2023,1,13,Đông,False,False
2023-01-14,Hà Nội,Bắc,30.0,16.9,22.7,0.0,16.3,78,2023,1,14,Đông,False,False
2023-01-15,Hà Nội,Bắc,20.1,14.1,18.1,0.0,24.6,63,2023,1,15,Đông,False,False
2023-01-16,Hà Nội,Bắc,14.4,10.4,12.6,0.0,20.1,47,2023,1,16,Đông,False,False
2023-01-17,Hà Nội,Bắc,14.8,10.9,12.6,0.0,14.7,50,2023,1,17,Đông,False,False
2023-01-18,Hà Nội,Bắc,16.7,10.4,13.2,0.0,13.7,48,2023,1,18,Đông,False,False
2023-01-19,Hà Nội,Bắc,19.5,8.1,14.1,0.0,8.2,55,2023,1,19,Đông,False,False
2023-01-20,Hà Nội,Bắc,19.0,11.8,15.3,0.0,8.3,59,2023,1,20,Đông,False,False
2023-01-21,Hà Nội,Bắc,22.5,9.6,15.8,0.0,13.8,74,2023,1,21,Đông,False,False
2023-01-22,Hà Nội,Bắc,21.0,12.9,16.8,0.0,9.0,86,2023,1,22,Đông,False,False
2023-01-23,Hà Nội,Bắc,21.9,15.2,18.7,2.8,23.9,83,2023,1,23,Đông,False,False
2023-01-24,Hà Nội,Bắc,18.6,12.1,15.5,0.5,26.5,45,2023,1,24,Đông,False,False
2023-01-25,Hà Nội,Bắc,18.6,7.2,13.1,0.0,14.4,54,2023,1,25,Đông,False,False
2023-01-26,Hà Nội,Bắc,22.2,9.4,16.0,0.1,14.7,74,2023,1,26,Đông,False,False
2023-01-27,Hà Nội,Bắc,18.1,11.4,15.2,0.9,23.1,54,2023,1,27,Đông,False,False
2023-01-28,Hà Nội,Bắc,19.3,8.8,13.5,0.0,16.6,40,2023,1,28,Đông,False,False
2023-01-29,Hà Nội,Bắc,20.0,8.4,13.7,0.0,12.9,46,2023,1,29,Đông,False,False
2023-01-30,Hà Nội,Bắc,21.4,6.7,14.1,0.0,15.0,59,2023,1,30,Đông,False,False
2023-01-31,Hà Nội,Bắc,23.2,9.2,15.7,0.0,17.2,70,2023,1,31,Đông,False,False
2023-02-01,Hà Nội,Bắc,24.9,11.9,17.8,0.0,18.5,81,2023,2,1,Đông,False,False
2023-02-02,Hà Nội,Bắc,24.1,18.5,20.6,1.4,10.9,87,2023,2,2,Đông,False,False
2023-02-03,Hà Nội,Bắc,20.8,19.0,19.9,5.5,13.2,95,2023,2,3,Đông,False,False
2023-02-04,Hà Nội,Bắc,25.2,18.6,20.7,2.7,16.8,90,2023,2,4,Đông,False,False
2023-02-05,Hà Nội,Bắc,22.5,19.6,20.3,17.6,15.7,93,2023,2,5,Đông,False,False
2023-02-06,Hà Nội,Bắc,22.8,19.0,20.5,3.4,16.6,90,2023,2,6,Đông,False,False
2023-02-07,Hà Nội,Bắc,23.4,19.6,21.3,3.3,20.9,91,2023,2,7,Đông,False,False
2023-02-08,Hà Nội,Bắc,24.1,19.7,21.6,3.3,18.6,91,2023,2,8,Đông,False,False
2023-02-09,Hà Nội,Bắc,24.9,20.6,21.9,5.4,17.4,92,2023,2,9,Đông,False,False
2023-02-10,Hà Nội,Bắc,27.9,20.5,23.3,1.7,25.2,85,2023,2,10,Đông,False,False
