date,city,region,temp_max,precipitation
2023-02-10,TP. Hồ Chí Minh,Nam,35.2,0.0
2023-02-11,TP. Hồ Chí Minh,Nam,35.3,0.0
2023-03-15,TP. Hồ Chí Minh,Nam,35.7,0.0
2023-03-16,TP. Hồ Chí Minh,Nam,35.5,0.0
2023-03-17,TP. Hồ Chí Minh,Nam,35.6,0.2
2023-03-18,TP. Hồ Chí Minh,Nam,35.2,0.0
2023-03-19,TP. Hồ Chí Minh,Nam,37.0,0.0
2023-03-21,TP. Hồ Chí Minh,Nam,35.4,0.0
2023-03-22,Hà Nội,Bắc,36.2,0.0
2023-03-22,TP. Hồ Chí Minh,Nam,35.7,0.0
2023-03-23,Huế,Trung,35.4,0.0
2023-03-23,Hà Nội,Bắc,35.3,0.0
2023-03-24,TP. Hồ Chí Minh,Nam,36.4,0.0
2023-03-26,TP. Hồ Chí Minh,Nam,35.8,0.0
2023-03-27,TP. Hồ Chí Minh,Nam,35.8,0.0
2023-03-28,TP. Hồ Chí Minh,Nam,35.8,2.1
2023-03-29,TP. Hồ Chí Minh,Nam,35.2,0.0
2023-04-05,Huế,Trung,35.4,0.5
2023-04-06,TP. Hồ Chí Minh,Nam,35.2,1.0
2023-04-07,TP. Hồ Chí Minh,Nam,35.3,0.0
2023-04-08,Cần Thơ,Nam,35.5,0.0
2023-04-08,TP. Hồ Chí Minh,Nam,36.3,0.0
2023-04-09,TP. Hồ Chí Minh,Nam,36.9,0.7
2023-04-10,TP. Hồ Chí Minh,Nam,35.3,2.8
2023-04-15,Cần Thơ,Nam,35.5,10.6
2023-04-18,Huế,Trung,35.2,0.0
2023-04-19,Đà Nẵng,Trung,36.6,0.0
2023-04-19,Huế,Trung,37.9,0.0
2023-04-20,Huế,Trung,36.5,0.0
2023-04-20,Đà Nẵng,Trung,37.0,0.0
2023-04-20,TP. Hồ Chí Minh,Nam,36.3,0.2
2023-04-21,TP. Hồ Chí Minh,Nam,36.5,1.4
2023-04-21,Huế,Trung,39.1,0.0
2023-04-21,Đà Nẵng,Trung,38.3,4.8
2023-04-22,TP. Hồ Chí Minh,Nam,36.3,0.3
2023-04-22,Huế,Trung,35.3,0.0
2023-04-23,Cần Thơ,Nam,35.5,0.1
2023-04-23,TP. Hồ Chí Minh,Nam,36.0,0.3
2023-04-23,Huế,Trung,35.3,0.0
