city,month,temp_mean,precipitation,humidity
Cần Thơ,1,25.82,1.38,77.23
Cần Thơ,2,27.17,0.35,72.75
Cần Thơ,3,28.19,0.09,69.18
Cần Thơ,4,29.92,0.98,70.08
Cần Thơ,5,28.79,7.98,80.92
Cần Thơ,6,27.58,8.49,85.07
Cần Thơ,7,26.6,12.41,88.34
Cần Thơ,8,27.2,8.28,85.65
Cần Thơ,9,26.56,12.76,88.25
Cần Thơ,10,26.61,13.43,88.19
Cần Thơ,11,26.8,5.97,84.13
Cần Thơ,12,26.48,2.81,80.23
Huế,1,20.43,5.43,85.27
Huế,2,22.83,4.47,88.6
Huế,3,24.11,2.49,86.94
Huế,4,28.88,0.43,77.9
Huế,5,29.22,3.8,77.19
Huế,6,30.1,5.54,73.77
Huế,7,29.65,4.56,74.26
Huế,8,30.34,3.14,70.39
Huế,9,27.77,11.36,83.85
Huế,10,25.41,24.35,88.02
Huế,11,24.2,13.02,86.35
Huế,12,22.09,13.68,88.5
Hà Nội,1,17.23,1.51,70.97
Hà Nội,2,19.67,1.46,78.68
Hà Nội,3,21.99,1.82,79.11
Hà Nội,4,26.53,1.52,81.32
Hà Nội,5,27.75,7.3,81.74
Hà Nội,6,29.08,14.15,83.2
Hà Nội,7,29.46,11.63,80.89
Hà Nội,8,28.47,12.6,85.79
Hà Nội,9,27.3,15.7,85.87
Hà Nội,10,25.75,1.81,72.5
Hà Nội,11,23.1,0.81,72.1
Hà Nội,12,18.44,0.52,68.05
Hải Phòng,1,17.21,1.11,74.29
Hải Phòng,2,19.34,1.15,81.25
Hải Phòng,3,21.35,1.39,83.0
Hải Phòng,4,25.93,2.03,84.3
Hải Phòng,5,27.64,5.61,82.76
Hải Phòng,6,29.2,11.38,83.35
Hải Phòng,7,29.44,9.97,81.79
Hải Phòng,8,28.6,11.9,84.95
Hải Phòng,9,27.32,17.74,86.6
Hải Phòng,10,25.51,2.86,75.9
Hải Phòng,11,23.14,0.83,73.73
Hải Phòng,12,18.59,0.52,70.45
TP. Hồ Chí Minh,1,26.79,1.25,69.26
TP. Hồ Chí Minh,2,28.15,0.3,64.79
TP. Hồ Chí Minh,3,28.83,0.14,63.95
TP. Hồ Chí Minh,4,30.46,1.51,67.43
TP. Hồ Chí Minh,5,29.34,7.94,78.27
TP. Hồ Chí Minh,6,27.93,8.8,83.9
TP. Hồ Chí Minh,7,27.02,12.88,86.66
TP. Hồ Chí Minh,8,27.57,10.09,84.74
TP. Hồ Chí Minh,9,26.84,14.39,87.42
TP. Hồ Chí Minh,10,26.75,12.02,87.16
TP. Hồ Chí Minh,11,27.29,3.38,80.5
TP. Hồ Chí Minh,12,27.09,2.31,75.31
Đà Nẵng,1,21.34,4.85,84.29
Đà Nẵng,2,23.19,2.63,87.23
Đà Nẵng,3,24.59,1.28,85.92
Đà Nẵng,4,28.18,0.46,82.07
Đà Nẵng,5,29.11,2.21,79.79
Đà Nẵng,6,30.28,3.63,74.58
Đà Nẵng,7,29.7,3.49,75.1
Đà Nẵng,8,30.77,1.87,69.27
Đà Nẵng,9,28.38,8.6,80.92
Đà Nẵng,10,26.08,20.06,85.98
Đà Nẵng,11,24.85,13.96,84.38
Đà Nẵng,12,22.89,11.22,86.65
